timestamp,open,high,low,close,volume,rsi,macd,macd_signal,macd_diff,ema20,ema50,ema200,Asset,Timeframe
2025-06-06 19:20:00,104482.65,104488.38,104447.03,104447.04,4.47386,40.8760045083376,-62.87197163554083,-51.37811015712811,-11.493861478412718,104588.22193114397,104607.54913003855,103860.52742585988,BTCUSD,5m
2025-06-06 19:15:00,104567.42,104593.06,104447.03,104447.04,23.09702,49.262671773208695,109.59130220426596,192.6876895944233,-83.09638739015733,104562.92480370034,104149.17821253932,103928.07256878211,BTCUSD,15m
2025-06-06 19:00:00,104497.69,104601.87,104409.46,104447.03,152.84742,57.47453866354541,352.9679871286062,173.47066051583613,179.49732661277005,103949.85072637237,103969.4981140696,105051.17498053264,BTCUSD,1h
2025-06-06 16:00:00,105092.28,105284.0,104390.18,104447.03,2345.77257,49.98345430080366,-403.1111984914751,-461.8311918077253,58.719993316250225,104250.33220970155,105025.0029740907,103986.34831716128,BTCUSD,4h
2025-06-06 00:00:00,101508.69,105333.0,101095.8,104447.04,14255.43607,50.8165902872662,793.505926825761,1742.1913442994166,-948.6854174736557,104903.7605020785,100975.16794567936,95218.84091913643,BTCUSD,1d
2025-06-02 00:00:00,105642.93,106794.67,100372.26,104447.04,77325.3469,62.069457742129316,5592.692561029136,4293.157680735074,1299.5348802940625,95095.13676633214,84162.5473883702,58027.595984888874,BTCUSD,1W
2025-06-01 00:00:00,104591.88,106794.67,100372.26,104447.04,87035.04696,69.17853131057164,16454.47557844782,14092.578859896843,2361.8967185509755,75879.00187018399,54291.478029854465,,BTCUSD,1M
2025-06-06 19:20:00,2496.29,2496.49,2494.8,2495.69,182.6298,49.29720240382947,-0.21297501541403108,-0.8511869875337321,0.638211972119701,2495.8165787307644,2496.82049447188,2478.0129359679077,ETHUSD,5m
2025-06-06 19:15:00,2499.21,2499.99,2494.8,2495.69,747.0938,50.75206309068682,1.434418885982268,2.983233523412931,-1.548814637430663,2496.250967605886,2489.574155300208,2526.096940065852,ETHUSD,15m
2025-06-06 19:00:00,2495.08,2502.2,2493.8,2495.69,3715.611,49.16056778914869,-5.888234294032827,-13.992536645659934,8.104302351627107,2491.9427310088467,2521.31449524612,2573.5175027819605,ETHUSD,1h
2025-06-06 16:00:00,2509.62,2518.38,2483.22,2495.69,62154.1469,42.55122446866386,-27.372683207797763,-14.98653486430925,-12.386148343488513,2539.2192238594816,2560.7303875299945,2432.481351234325,ETHUSD,4h
2025-06-06 00:00:00,2414.02,2531.36,2381.49,2495.69,527517.5957,51.78649768440637,66.92765889047178,104.10115463259766,-37.17349574212588,2513.324803403223,2338.8673559102303,2502.242838821112,ETHUSD,1d
2025-06-02 00:00:00,2539.2,2679.88,2381.49,2495.69,2762223.4691,51.21515056596368,-128.31137891663275,-219.43339402388017,91.12201510724742,2367.7548338853658,2572.892207436948,2607.092839244536,ETHUSD,1W
2025-06-01 00:00:00,2528.06,2679.88,2381.49,2495.69,3094247.285,49.86058585238385,43.751981655562304,162.49875225851224,-118.74677060294994,2564.7186665938725,2241.94698340469,,ETHUSD,1M
2025-06-06 19:20:00,0.3336,0.3336,0.3333,0.3333,7914.8,41.35505883576165,-0.0010736956948734777,-0.0012126016277902,0.00013890593291672232,0.33433671028179424,0.3360774992977296,0.3347475893919877,ARBUSD,5m
2025-06-06 19:15:00,0.334,0.3342,0.3333,0.3333,103540.6,41.085982126327856,-0.0010494637114183414,-0.00027157607355274266,-0.0007778876378655988,0.33608775197178115,0.33598575397057495,0.3427369195737823,ARBUSD,15m
2025-06-06 19:00:00,0.3328,0.3345,0.3322,0.3333,422867.7,43.812213049436075,-0.0014579290118654775,-0.00230772058586217,0.0008497915739966925,0.3361974757910118,0.34197037571781796,0.35831185960958145,ARBUSD,1h
2025-06-06 16:00:00,0.3407,0.3424,0.3322,0.3333,8172266.8,40.540958904804256,-0.006746252160647448,-0.004777809532450255,-0.001968442628197193,0.345488515283864,0.35645780971660046,0.3682780675552093,ARBUSD,4h
2025-06-06 00:00:00,0.3233,0.3467,0.3224,0.3333,55262246.8,41.259993054603505,-0.01015605866087771,-0.002468050567017626,-0.007688008093860083,0.36580870375669217,0.3682770998021364,0.4794293044853377,ARBUSD,1d
2025-06-02 00:00:00,0.3427,0.3737,0.317,0.3333,324277981.2,40.78013269710132,-0.08523872238820923,-0.09789466513675525,0.01265594274854602,0.42379083366713505,0.6076292105440808,,ARBUSD,1W
2025-06-01 00:00:00,0.3397,0.3737,0.317,0.3333,364828225.7,35.43382943720711,-0.24654421278850447,,,0.7254240652105791,,,ARBUSD,1M
2025-06-06 19:20:00,13.49,13.5,13.48,13.5,2299.1,53.79887198145708,-0.008275935153996272,-0.013174334795762285,0.004898399641766013,13.473565336138357,13.472317305166625,13.32705931691022,LINKUSD,5m
2025-06-06 19:15:00,13.5,13.51,13.48,13.5,9784.04,56.16724853134681,0.03317718128454672,0.04821477251960867,-0.015037591235061952,13.466034520606328,13.382792202746943,13.470701806428973,LINKUSD,15m
2025-06-06 19:00:00,13.44,13.51,13.42,13.5,32387.6,55.15220679438086,0.02141461259096822,-0.03358351077394323,0.05499812336491145,13.373364040235366,13.498062403440922,14.067304568886648,LINKUSD,1h
2025-06-06 16:00:00,13.53,13.62,13.41,13.5,373458.65,43.83883837550467,-0.23304986002066386,-0.2183943183829683,-0.014655541637695557,13.632612253202577,14.07741502161224,14.842881845407776,LINKUSD,4h
2025-06-06 00:00:00,12.89,13.69,12.82,13.5,2648995.71,38.82095703937637,-0.493951215853798,-0.2388586822449859,-0.25509253360881207,14.57940666974105,14.824692622766797,16.07273175986287,LINKUSD,1d
2025-06-02 00:00:00,14.06,14.48,12.64,13.5,12873439.02,44.84170881925323,-0.7246857266364106,-0.5875932771388248,-0.1370924494975858,15.387862356175624,15.528433563656916,15.718203402925646,LINKUSD,1W
2025-06-01 00:00:00,13.97,14.48,12.64,13.5,14546876.44,48.95797075377662,0.7738199668118053,1.0960701558419017,-0.3222501890300964,14.574098885209438,12.979724307938278,,LINKUSD,1M
